GRUPO FINANCEIRO;Consultor Comercial;Empresa;Tipo;Pagto;Porte Cliente;Cliente (Razão Social);CNPJ;Operadora;Benefício ;Parcela;Mes Referencia ;Tipo Receita; Premio Bruto ;% Receita para XIPP;Receita Bruta da Corretora XIPP;  % Impostos retidos;Impostos retidos;Receita recebida pela Corretora XIPP;(%) Impostos sobre receita;  Imposto R$  ; Receita Líquida  ;"% 
Comissão"; Comissão a Pagar 
MD Palhoca;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/02/2022;Small;Md Palhoca;12.107.639/0001-50;BRADESCO;Saúde;1;01/01/2022;Comissão; R$ 2.473,89 ;10%; R$ 247,39 ;6,50%; R$ 16,08 ; R$ 231,31 ;14,25%; 32,96 ; 198,35 ;20%; 39,67 
Clo Transportes;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/02/2022;Small;Clo Transportes;21.975.233/0001-80;GNDI;Saúde;1;01/02/2022;Agenciamento; R$ 1.302,98 ;100%; R$ 1.302,98 ;6,50%; R$ 84,69 ; R$ 1.218,29 ;14,25%; 173,61 ; 1.044,68 ;20%; 208,94 
Erj Consultoria;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/03/2022;Small;Erj Consultoria;42.952.840/0001-02;Metlife;Odonto;1;01/03/2022;Agenciamento; R$ 80,43 ;200%; R$ 160,86 ;6,50%; R$ 10,46 ; R$ 150,40 ;14,25%; 21,43 ; 128,97 ;20%; 25,79 
Erj Consultoria;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/03/2022;Small;Erj Consultoria;28.673.498.0001-72;Metlife;Odonto;1;01/03/2022;Agenciamento; R$ 80,43 ;200%; R$ 160,86 ;6,50%; R$ 10,46 ; R$ 150,40 ;14,25%; 21,43 ; 128,97 ;20%; 25,79 
Armatrel;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/03/2022;Small;Armatrel;11.495.291/0001-52;GNDI;Saúde;1;01/03/2022;Agenciamento; R$ 17.056,03 ;100%; R$ 17.056,03 ;6,50%; R$ 1.108,64 ; R$ 15.947,39 ;14,25%; 2.272,50 ; 13.674,89 ;20%; 2.734,98 
Factu;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/04/2022;Small;Factu Merchandising;07.058.605/0001-95;Porto Seguro;Saúde;1;01/01/2022;Comissão; R$ 24.179,54 ;2%; R$ 483,59 ;2,00%; R$ 9,67 ; R$ 473,92 ;14,25%; 67,53 ; 406,39 ;20%; 81,28 
Erj Consultoria;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/04/2022;Small;Erj Consultoria;28.673.498.0001-72;CNU;Saúde;1;01/04/2022;Comissão; R$ 1.376,59 ;5%; R$ 68,83 ;5,00%; R$ 3,44 ; R$ 65,39 ;14,25%; 9,32 ; 56,07 ;20%; 11,21 
Ressig;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/04/2022;Small;Claudia O. S Clínica de Psicologia;27.262.821/0001-52;GNDI;Saúde;1;01/04/2022;Agenciamento; R$ 1.062,25 ;100%; R$ 1.062,25 ;6,50%; R$ 69,05 ; R$ 993,20 ;14,25%; 141,53 ; 851,67 ;20%; 170,33 
Planet Sport;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/05/2022;Small;Planet Sport;27.644.952/0001-02;GNDI;Saúde;1;01/02/2022;Comissão; R$ 1.133,19 ;2%; R$ 22,66 ;2,00%; R$ 0,45 ; R$ 22,21 ;14,25%; 3,16 ; 19,05 ;20%; 3,81 
Armatrel;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/05/2022;Small;Armatrel - Armacoes Trelicadas Ltda.;11.495.291/0001-52;Metlife Odonto;Odonto;1;01/05/2022;Agenciamento; R$ 640,51 ;200%; R$ 1.281,02 ;2,00%; R$ 25,62 ; R$ 1.255,40 ;14,25%; 178,89 ; 1.076,51 ;20%; 215,30 
